Stkcd,phase,BM,Inv,OP,Size
1,2016,17714.53484201083,0.14667094146288587,0.17891640866873065,127291269.37
1,2017,22182.296864147793,0.1780049769678627,0.1472961008255388,158859922.82
2,2017,4163.746825880085,0.35887491719284964,0.2413694110944201,242435421.94
4,2017,60.05861116632861,-0.43884835835996805,0.2894300171379854,2128018.49
5,2016,239.15561627697898,0.6053756437916534,-0.048942841591980916,6889622.27
5,2017,409.1428155126541,0.15188024094049632,0.09518723556218994,4984405.69
6,2016,823.4878368235514,0.08085332280445115,0.1317210972264051,9913765.73
6,2017,1036.0853079677202,0.03675216798524566,0.17753206267230434,11848427.12
8,2016,475.5512175761963,4.325230496767055,0.06730943841412662,16279892.71
8,2017,587.8970167714875,1.2824873335416056,0.09133123231313521,14633365.44
9,2016,677.0435911238391,0.2301068659370581,0.16781950135349283,21305689.26
9,2017,984.4766468387679,0.19371787427769957,0.05545736391640962,17151330.14
10,2016,1255.956314184364,5.4343910252630225,0.011757953659583403,3194091.31
10,2017,1551.0965368577035,-0.05969388507319573,0.03150650877153766,2636966.06
11,2016,1715.1830979095869,0.12784921490320922,0.022681845499926193,2354800.56
11,2017,2020.2015978301854,0.5193414359517006,0.20515907739367525,3517252.52
12,2016,899.3541554042743,0.0243903679729236,0.06861522634726225,14944664.0
12,2017,1159.495015509814,0.09514072488005401,0.10639856438093621,12130200.58
14,2016,471.75926467937984,-0.02960535971332691,0.0671327819699378,3735580.06
14,2017,446.84305716339344,-0.1366959456961923,0.028789646934236066,3396715.35
16,2016,1718.8118164335822,-0.1507203991924364,-0.5102423531524191,7679616.18
16,2017,2394.6655146645867,0.21001227088007435,-0.06998342674243817,7807343.68
17,2016,10.89163777927457,-0.10915888625071776,-0.02841778539192555,3214620.54
17,2017,14.168316854947264,0.1791877680467782,0.2438354046232903,2654107.06
18,2016,819.8034715324186,20.784441376170193,0.33691681453012334,4602203.2
18,2017,990.6635945639847,0.9878663002601674,0.3040168594162241,5703283.19
19,2016,246.7140573814912,-0.08154556535807878,-0.05039443001104817,5127745.39
19,2017,192.500600127144,0.11135272070630622,0.08971545093419624,5062288.89
21,2016,808.8427534401673,-0.007813304410403196,0.037976057111482255,16182656.13
21,2017,845.3878893073478,-0.18274740587799304,0.06396094534004307,12611047.57
22,2016,770.6001388264924,-0.0031793370268839746,0.1392347174966417,7326288.95
22,2017,748.3808118325924,-0.042422013626760915,0.1362640204223156,13829764.99
25,2016,77.70798179987497,0.44937618149181485,0.053379850184338135,13253452.69
25,2017,110.95737856115741,0.017398567216326724,0.035001990106094824,10031433.98
26,2016,833.4437635667888,0.16099605023465224,0.054117750889650276,3555531.67
26,2017,939.7504108116646,-0.05693225038369129,0.053635878719729746,4441666.52
27,2016,4117.638188887926,0.5105445168046495,0.09151283469386921,25293456.39
27,2017,2234.618086657078,0.04812954364272814,0.07532989830863646,26681028.45
29,2016,362.83397814154546,-0.044607270349392616,0.18592825406336555,9273264.0
30,2016,1413.407896653454,0.1119859300261446,0.09854528914690751,8942665.17
30,2017,855.8222281880107,0.1221477183690409,0.11244122495390176,11135334.02
31,2016,2170.9436323805103,0.1945560592964857,0.12504193627071913,17103407.49
31,2017,3787.57582750448,0.10764861425349327,0.19703572553029033,13657312.19
32,2016,356.5895983706182,-0.23173164191131257,0.020545175567019715,4272574.71
34,2016,47.134965569981574,-0.029587810398068907,-0.0378026169750122,7651278.18
35,2016,710.1494838602756,0.3443275057194056,0.13045766325434818,5738023.33
35,2017,1022.5566962229844,0.363596500126753,0.09441574668732176,8223605.78
36,2016,641.1674514332636,0.41471767338082083,0.0449736821083107,9227056.54
36,2017,1024.956920450412,0.504620399544843,0.44484356586725954,10267167.93
37,2017,1148.6408837911554,-0.047195857000642084,0.7279756948284497,3521120.68
38,2016,346.9052890557666,0.08998333356111235,0.12842324741406677,2349536.77
39,2016,4033.682238158749,0.21631141596374534,0.08293411139117657,17866892.79
39,2017,6759.101827557598,0.16720725726664676,0.02045591554440867,22755461.98
40,2016,975.8773342123008,0.5852940404804977,0.08111772716551427,5454208.69
40,2017,3027.7758424481312,1.5540255501560702,0.020199549322576022,6137543.74
42,2016,2459.348479543762,0.5201827572844571,0.11220424598448919,8197860.01
43,2016,2852.507064813746,0.14015264437433544,0.12055762573120875,5500940.49
43,2017,2658.581101377823,-0.0501653082001022,0.05990704511519372,6374423.17
45,2016,518.8976383730468,0.05193861900244022,0.008870754563575516,6206356.71
45,2017,643.8557857805076,0.38734870100492774,-0.02701077719498157,5484262.19
46,2016,2072.99489024036,0.6695963982685114,0.23642304194982167,45999356.85
46,2017,3970.7157734058806,0.41805836051203354,0.14486648749449849,44461387.89
48,2016,139.5850568414532,-0.02125001297018131,0.30681213372904553,13648185.35
49,2016,291.9727603348578,-0.27227051378547534,0.3237936741479483,8607922.37
49,2017,596.233441796121,0.5123231753099429,0.29090425164624845,10633678.07
50,2016,1081.2797883941387,0.3782822476358735,0.0014335446818543132,19681997.25
55,2016,739.1697229111201,0.21880677004547605,0.0689564360726508,7904149.2
55,2017,1185.6315921618573,0.5203464501663791,0.36858326133466623,4586254.49
56,2016,1652.153660609572,0.015720959511024053,0.004556908567488466,3645056.43
56,2017,2806.800231396522,0.3307759492833562,0.01844816879715322,3419028.6
59,2017,1883.0287216628622,0.04847290487117952,0.2039327330763705,14013709.67
60,2016,549.1656229367426,0.11726754354570508,0.01204646719123229,23065460.28
60,2017,688.1867024977413,0.06839271895722897,0.04546960659679351,24769800.57
61,2016,567.2737069699865,0.16851107751485286,0.0007979674898060692,20568962.5
61,2017,824.3661259829372,0.06928734700349906,0.031210341099534814,15409916.84
62,2016,253.26794628864857,0.5279649837166447,0.1304034125630339,18007638.44
62,2017,365.34892891919964,0.11974145764339697,0.13460340027214795,17694178.11
63,2016,1916.2336605333019,0.13820846509067394,0.007392879194151692,48605556.71
63,2017,2619.939427023369,0.17161340245322723,0.028507898600687927,81292993.41
68,2016,66.7097429870744,0.8013195646842652,-0.0009056930797078324,8679779.77
68,2017,176.0951849662457,0.7334244777088136,0.027383359175577347,6294633.68
69,2016,4208.3791459825925,0.21492202762417356,0.16332291809134572,39179673.36
69,2017,3439.631503899599,0.26962562791031364,0.1781327357750907,61608943.7
70,2017,739.3228851624141,0.2524547000364639,0.118852752188317,6366748.55
78,2016,729.7855294248051,0.32502575265121164,0.2905861732762829,13562306.83
78,2017,1434.1194839953778,0.30552641153475335,0.11019823718917558,11195627.76
88,2016,470.6223336777991,0.15424569020581771,0.06253043102535996,12507302.57
88,2017,596.2955606833754,0.04801444064937664,0.06532892245510896,20412522.0
89,2016,714.4030273585988,-0.05847860720773961,0.07313662056083448,17431540.83
89,2017,760.6824862126281,0.043902551988715226,0.07038121512617744,19174694.91
90,2016,1760.284566412362,0.5011682031826274,0.08119467565800394,6807170.14
90,2017,2581.579066359594,0.16532793001554422,0.09897322302947893,8586316.88
96,2016,253.20565937590726,0.09049982547800547,0.10591836569564383,6140392.96
96,2017,321.3885580658254,0.09599330348833555,0.14043825555161588,7642286.08
99,2016,553.9087280473078,0.11389139189081182,0.06707065936466489,7878915.46
