Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
11,2017-12-31,5393331548.87,2470775667.73,2922555881.14,832705476.1
11,2018-06-30,4599956823.31,1772806782.1,2827150041.21,108338054.57
12,2014-06-30,14796960553.0,6548007222.0,8248953331.0,622510836.0
12,2014-12-31,15284388305.0,6770760155.0,8513628150.0,810544641.0
12,2015-06-30,15321775324.0,7744422276.0,7577353048.0,150992628.0
12,2015-12-31,15657180160.0,8011708683.0,7648891477.0,524830420.0
12,2016-06-30,16975221410.0,8994787538.0,7980433872.0,493767750.0
12,2016-12-31,17146815630.0,9017624611.0,8129191019.0,864934254.0
12,2017-06-30,17930281613.0,9519353240.0,8410928373.0,465370065.0
12,2017-12-31,19535002368.0,10755379257.0,8779623111.0,980696575.0
12,2018-06-30,20524811756.0,11408347706.0,9116464050.0,418735977.0
14,2014-06-30,2129777243.3,1439652421.69,690124821.61,40814875.15
14,2014-12-31,2236734317.07,1513376905.14,723357411.93,84576010.14
14,2015-06-30,2129029074.27,1394025680.97,735003393.3,-5222667.15
14,2015-12-31,2170514993.03,1397577977.65,772937015.38,51889412.13
14,2016-06-30,2143586607.36,1388474261.28,755112346.08,-23071004.65
14,2016-12-31,1873814393.41,1079227652.48,794586740.93,22875871.73
14,2017-06-30,1563302884.2,769872298.26,793430585.94,-2855031.07
14,2017-12-31,1528276983.32,728127339.7,800149643.62,-309596.68
14,2018-06-30,1650465155.07,851315311.74,799149843.33,-6056897.03
16,2014-06-30,15158666102.78,10841018341.29,4317647761.49,28983552.69
16,2014-12-31,16779359276.65,12481902771.63,4297456505.02,-149612758.11
16,2015-06-30,16132799097.22,12079059308.76,4053739788.46,-421920650.29
16,2015-12-31,14250367548.28,11174917131.15,3075450417.13,-1569225057.84
16,2016-06-30,14881788535.36,11923884980.81,2957903554.55,-140043696.46
16,2016-12-31,17243119597.97,13924620703.3,3318498894.67,-232239924.29
16,2017-06-30,20666059935.37,17317304586.05,3348755349.32,-89154010.57
16,2017-12-31,23558735469.78,15360545662.39,8198189807.39,6592163474.68
16,2018-06-30,28134003876.94,19506541295.89,8627462581.05,370020369.35
17,2014-06-30,71080200.32,61020360.26,10059840.06,-1728551.24
17,2014-12-31,51489647.55,37993541.48,13496106.07,-6727454.97
17,2015-06-30,56305899.3,42217216.37,14088682.93,788437.65
17,2015-12-31,45869094.97,32478863.65,13390231.32,-380520.72
17,2016-06-30,58478529.08,44569366.18,13909162.9,374245.97
17,2016-12-31,54088275.72,36806464.67,17281811.05,4213917.39
17,2017-06-30,48954777.06,33800231.82,15154545.24,-2407346.98
17,2017-12-31,73559961.28,54698990.76,18860970.52,1813317.84
17,2018-06-30,70833599.3,51480712.37,19352886.93,683064.11
18,2014-06-30,195275060.0,69692489.0,125582571.0,740248.0
18,2014-12-31,184418905.0,54894362.0,129524543.0,3433977.0
18,2015-06-30,173233623.0,44281815.0,128951808.0,-608576.0
18,2015-12-31,4017462824.63,2736919161.08,1280543663.55,431436691.99
18,2016-06-30,5781742089.91,4269651705.24,1512090384.67,213063051.16
18,2016-12-31,7986178961.63,6155696089.04,1830482872.59,556497654.14
18,2017-06-30,9516720434.55,7493699671.17,2023020763.38,331347066.35
