date,Mktrf,SMB,HML,RMW,CMA
2016-07,0.018580000000000003,-0.019555110248605217,0.013230149175906699,0.010255127308474657,0.009072141551336513
2016-08,0.040034,0.025157276311893278,0.005680466547402965,-0.013711740190140306,0.005874286947411343
2016-09,-0.020612,0.04055258375434378,0.00145271932844797,-0.002273067822596261,0.010235330943146936
2016-10,0.028997000000000002,0.02237398181554261,0.011868759983467814,-0.023245199025011917,0.010161572900948074
2016-11,0.043315,-0.015090527346586233,0.025531412607982317,-0.008759695321765265,0.014619551245208882
2016-12,-0.045863,0.031072713397416223,0.007349314664646705,-0.015649149428686924,0.03830807292994843
2017-01,0.012817000000000002,-0.04107826986181961,0.034782697747225026,-0.0004684825015955603,0.029551626116781603
2017-02,0.024929999999999997,0.02178467080621094,0.0037816431485738766,-0.011316105205501761,-0.003889711859836713
2017-03,-0.005921,-0.01170020637036998,0.0049204951991312544,0.029424163091296793,-0.01697148878129129
2017-04,-0.022897,-0.04077672339561291,0.02138775254073979,0.02951102395587598,-0.025375903488310522
2017-05,-0.016881,-0.0694493283285658,0.0425974007092039,0.0618732665900371,-0.01106921368593354
2017-06,0.041967,-0.0018360087216854036,-0.012974781645273471,-0.020440754827483885,-0.007077388374833578
