,Stkcd,Accper,Typrep,total_assets,tptal_liability,total_equity
40339,2457,2016-12-31,A,2913656532.1,1081564432.35,1832092099.75
40358,2458,2014-06-30,A,1587673202.92,964211206.88,623461996.04
40363,2458,2014-12-31,A,1824511259.19,1117300515.81,707210743.38
40369,2458,2015-06-30,A,1783248634.46,1264578370.62,518670263.84
40373,2458,2015-12-31,A,1754795712.09,1433348764.85,321446947.24
40379,2458,2016-06-30,A,1843111470.08,661899925.31,1181211544.77
40383,2458,2016-12-31,A,1937060928.35,462629037.68,1474431890.67
40402,2459,2014-06-30,A,1482651754.9,1018505397.4,464146357.5
40407,2459,2014-12-31,A,1749884355.9,235669913.63,1514214442.27
40413,2459,2015-06-30,A,1692572676.16,199470622.88,1493102053.28
40417,2459,2015-12-31,A,1352841542.27,138219598.73,1214621943.54
40423,2459,2016-06-30,A,1338741196.86,120655383.61,1218085813.25
40427,2459,2016-12-31,A,1342105229.22,105723909.65,1236381319.57
40447,2460,2014-06-30,A,1791101973.29,406402376.15,1384699597.14
40451,2460,2014-12-31,A,1954451783.93,566673122.72,1387778661.21
40457,2460,2015-06-30,A,2068421447.45,661855615.31,1406565832.14
40461,2460,2015-12-31,A,2527552379.63,644367042.19,1883185337.44
40467,2460,2016-06-30,A,3094661823.72,1016647010.31,2078014813.41
40471,2460,2016-12-31,A,3808742104.22,1318236284.28,2490505819.94
40490,2461,2014-06-30,A,5812312181.85,2486685382.25,3325626799.6
40495,2461,2014-12-31,A,6284537028.65,2921942420.09,3362594608.56
40501,2461,2015-06-30,A,6371336175.88,2989614993.75,3381721182.13
40505,2461,2015-12-31,A,6484938986.16,3052492652.89,3432446333.27
40511,2461,2016-06-30,A,6283090224.89,2826599950.59,3456490274.3
40515,2461,2016-12-31,A,6614865738.15,3039219801.27,3575645936.88
40534,2462,2014-06-30,A,3481069782.98,2113102127.76,1367967655.22
40539,2462,2014-12-31,A,4547280342.19,2872679361.61,1674600980.58
40545,2462,2015-06-30,A,5212345180.99,3390274848.11,1822070332.88
40549,2462,2015-12-31,A,5886880264.71,3684829105.73,2202051158.98
40555,2462,2016-06-30,A,6880759128.95,4182314714.12,2698444414.83
40559,2462,2016-12-31,A,7379553031.06,4444306233.03,2935246798.03
40578,2463,2014-06-30,A,5209372551.0,1950782493.0,3258590058.0
40583,2463,2014-12-31,A,5446962106.0,2224806147.0,3222155959.0
40589,2463,2015-06-30,A,5624531774.0,2443240848.0,3181290926.0
40593,2463,2015-12-31,A,5435561940.0,2207761963.0,3227799977.0
40599,2463,2016-06-30,A,5563518989.0,2307774815.0,3255744174.0
40605,2463,2016-12-31,A,5323596211.0,1958568111.0,3365028100.0
40622,2464,2014-06-30,A,1076167595.88,181359595.99,894807999.89
40627,2464,2014-12-31,A,904850197.04,149230556.51,755619640.53
40633,2464,2015-06-30,A,709556520.11,76341502.95,633215017.16
40637,2464,2015-12-31,A,2273138484.2,1299713248.87,973425235.33
40643,2464,2016-06-30,A,2098466922.16,1066210721.96,1032256200.2
40647,2464,2016-12-31,A,2103762205.54,934938454.78,1168823750.76
40666,2465,2014-06-30,A,6454970820.05,1498682592.94,4956288227.11
40671,2465,2014-12-31,A,8488703878.92,3102784855.9,5385919023.02
40677,2465,2015-06-30,A,8326203238.33,3002567186.63,5323636051.7
40681,2465,2015-12-31,A,9895063533.39,2938851571.12,6956211962.27
40687,2465,2016-06-30,A,9654403295.15,2840524524.29,6813878770.86
40691,2465,2016-12-31,A,10910142912.27,3704790859.62,7205352052.65
40711,2466,2014-06-30,A,6805021094.62,1439782603.38,5365238491.24
40715,2466,2014-12-31,A,6128554517.93,1384078226.7,4744476291.23
40721,2466,2015-06-30,A,7245292596.21,2839430435.74,4405862160.47
40725,2466,2015-12-31,A,7516329371.36,3444217020.47,4072112350.89
40731,2466,2016-06-30,A,8189178188.95,3351175163.44,4838003025.51
40735,2466,2016-12-31,A,11205934319.54,5411408341.23,5794525978.31
40754,2467,2014-06-30,A,1558156907.6,244216777.18,1313940130.42
40759,2467,2014-12-31,A,1685543751.27,267311915.83,1418231835.44
40765,2467,2015-06-30,A,1676930794.69,265192859.26,1411737935.43
40769,2467,2015-12-31,A,2626993837.87,423123703.48,2203870134.39
40775,2467,2016-06-30,A,2808527369.6,536663137.42,2271864232.18
40779,2467,2016-12-31,A,2699470371.38,809530626.31,1889939745.07
40798,2468,2014-06-30,A,1637819686.6,871452731.91,766366954.69
40803,2468,2014-12-31,A,1620410443.04,855927376.75,764483066.29
40809,2468,2015-06-30,A,1705924883.87,942695791.69,763229092.18
40813,2468,2015-12-31,A,1570362360.26,810538467.98,759823892.28
40819,2468,2016-06-30,A,1604196156.31,845852454.96,758343701.35
40823,2468,2016-12-31,A,7964431743.82,2522102831.4,5442328912.42
40842,2469,2014-06-30,A,1230384045.37,183119120.67,1047264924.7
40847,2469,2014-12-31,A,1542821648.49,377508337.26,1165313311.23
40853,2469,2015-06-30,A,1428576421.96,244272862.29,1184303559.67
40857,2469,2015-12-31,A,1572868137.17,271876053.79,1300992083.38
40863,2469,2016-06-30,A,1526626460.02,252919780.98,1273706679.04
40867,2469,2016-12-31,A,1526325261.48,257332470.91,1268992790.57
40887,2470,2014-06-30,A,8384063307.55,3849760051.05,4534303256.5
40891,2470,2014-12-31,A,11011294385.47,4021212398.91,6990081986.56
40897,2470,2015-06-30,A,11646547484.87,4081838660.53,7564708824.34
40900,2470,2015-12-31,A,11745952203.62,3622432358.6,8123519845.02
40907,2470,2016-06-30,A,15313572683.29,5712749480.79,9600823202.5
40911,2470,2016-12-31,A,14979111775.17,5305293466.22,9673818308.95
40930,2471,2014-06-30,A,5805044424.84,3654456481.49,2150587943.35
40935,2471,2014-12-31,A,6086514712.97,3857370298.15,2229144414.82
40941,2471,2015-06-30,A,6027607925.99,3730179530.65,2297428395.34
40945,2471,2015-12-31,A,8420146667.51,5731083224.81,2689063442.7
40951,2471,2016-06-30,A,8558859963.79,5832435348.42,2726424615.37
40955,2471,2016-12-31,A,8511590302.84,5639826446.26,2871763856.58
40974,2472,2014-06-30,A,2282560028.37,778639354.0,1503920674.37
40979,2472,2014-12-31,A,2398742419.98,845558148.45,1553184271.53
40985,2472,2015-06-30,A,2496603711.33,905686173.08,1590917538.25
40989,2472,2015-12-31,A,3806048557.17,953562842.31,2852485714.86
40995,2472,2016-06-30,A,3499416895.59,590076872.46,2909340023.13
40999,2472,2016-12-31,A,3905091575.66,891092858.61,3013998717.05
41018,2473,2014-06-30,A,454367892.26,53676325.15,400691567.11
41023,2473,2014-12-31,A,443135571.8,49345829.99,393789741.81
41029,2473,2015-06-30,A,425388255.61,39712004.12,385676251.49
41033,2473,2015-12-31,A,464770999.47,87538614.58,377232384.89
41039,2473,2016-06-30,A,460322513.47,74883374.41,385439139.06
41043,2473,2016-12-31,A,444695771.64,102517909.93,342177861.72
41062,2474,2014-06-30,A,1567251045.14,195825121.61,1371425923.53
41067,2474,2014-12-31,A,1686154881.95,329772405.02,1356382476.93
41073,2474,2015-06-30,A,1672827337.54,306502989.5,1366324348.04
41077,2474,2015-12-31,A,1906471210.3,524513022.16,1381958188.14
41083,2474,2016-06-30,A,2024686415.48,626479859.98,1398206555.5
41087,2474,2016-12-31,A,2135196120.2,722239459.76,1412956660.44
41106,2475,2014-06-30,A,7008019197.2,3741519441.45,3266499755.75
41111,2475,2014-12-31,A,9691628858.36,4727372093.24,4964256765.12
41117,2475,2015-06-30,A,10280265284.57,4990843319.88,5289421964.69
41121,2475,2015-12-31,A,11587051478.54,5708078385.35,5878973093.19
41127,2475,2016-06-30,A,12693997250.24,6480339004.27,6213658245.97
41131,2475,2016-12-31,A,20954806393.01,8824903214.18,12129903178.83
41151,2476,2014-06-30,A,1226924387.27,181347980.95,1045576406.32
41155,2476,2014-12-31,A,1365849300.17,230083604.64,1135765695.53
41161,2476,2015-06-30,A,1464378028.84,332136221.71,1132241807.13
41165,2476,2015-12-31,A,1547861204.3,447178848.25,1100682356.05
41171,2476,2016-06-30,A,1562483157.97,469424042.82,1093059115.15
41175,2476,2016-12-31,A,1449851295.24,414266610.86,1035584684.38
41194,2477,2014-06-30,A,7067974706.99,4166940543.67,2901034163.32
41199,2477,2014-12-31,A,7241181466.63,4361026618.15,2880154848.48
41205,2477,2015-06-30,A,9229979798.82,4811939155.36,4418040643.46
41209,2477,2015-12-31,A,10181381936.6,5469638158.05,4711743778.55
41215,2477,2016-06-30,A,13187812540.05,8174356659.97,5013455880.08
41219,2477,2016-12-31,A,17035989123.6,10270948780.39,6765040343.21
41238,2478,2014-06-30,A,3767941014.82,860841869.98,2907099144.84
41243,2478,2014-12-31,A,3980314596.29,916035169.31,3064279426.98
41249,2478,2015-06-30,A,3831427935.7,761417548.25,3070010387.45
41253,2478,2015-12-31,A,3948368304.9,848294477.35,3100073827.55
41259,2478,2016-06-30,A,3753867165.07,667215395.12,3086651769.95
41263,2478,2016-12-31,A,3932547948.82,780312886.43,3152235062.39
41283,2479,2014-06-30,A,3618337847.6,1221855493.29,2396482354.31
41287,2479,2014-12-31,A,3817770559.0,1345439283.23,2472331275.77
41293,2479,2015-06-30,A,3715508847.69,1237601876.58,2477906971.11
41297,2479,2015-12-31,A,4987838355.3,1853700060.44,3134138294.86
41303,2479,2016-06-30,A,4802322271.14,1714239902.12,3088082369.02
41307,2479,2016-12-31,A,5150085219.87,1940064825.64,3210020394.23
41326,2480,2014-06-30,A,4119550755.36,2220228818.21,1899321937.15
41331,2480,2014-12-31,A,4505455221.35,2017852856.21,2487602365.14
41337,2480,2015-06-30,A,5006466167.77,2436247124.74,2570219043.03
41343,2480,2015-12-31,A,5118912452.36,2689636128.25,2429276324.11
41347,2480,2016-06-30,A,5250214631.32,2864897199.43,2385317431.89
41351,2480,2016-12-31,A,4801024597.81,2358742030.66,2442282567.15
41370,2481,2014-06-30,A,1855225753.58,815498903.64,1039726849.94
41375,2481,2014-12-31,A,3779252312.26,1386245279.61,2393007032.65
41381,2481,2015-06-30,A,3915233197.27,1414209197.74,2501023999.53
41385,2481,2015-12-31,A,4184158269.1,1621022565.67,2563135703.43
41391,2481,2016-06-30,A,4535683669.77,1910582051.49,2625101618.28
41395,2481,2016-12-31,A,4437759841.73,1836878824.5,2600881017.23
41415,2482,2014-06-30,A,10157272007.54,6222202147.89,3935069859.65
41419,2482,2014-12-31,A,11327217353.82,7043962430.98,4283254922.84
41425,2482,2015-06-30,A,11999988304.29,7360783992.83,4639204311.46
41429,2482,2015-12-31,A,13656475099.67,7716387255.56,5940087844.11
41435,2482,2016-06-30,A,12972353357.51,6900842935.7,6071510421.81
41439,2482,2016-12-31,A,15845241845.57,9542302835.94,6302939009.63
41458,2483,2014-06-30,A,3409205585.6,1003176744.26,2406028841.34
41463,2483,2014-12-31,A,3598873677.29,1129032128.67,2469841548.62
41469,2483,2015-06-30,A,3943558731.95,1309920424.2,2633638307.75
41473,2483,2015-12-31,A,4501047525.11,1853476956.15,2647570568.96
41479,2483,2016-06-30,A,4215758595.14,1442368109.56,2773390485.58
41483,2483,2016-12-31,A,4662692675.27,1832034439.98,2830658235.29
41502,2484,2014-06-30,A,1839082060.82,237567008.07,1601515052.75
41506,2484,2014-12-31,A,1954649262.37,271495044.14,1683154218.23
41513,2484,2015-06-30,A,1980687935.49,272517500.37,1708170435.12
41517,2484,2015-12-31,A,2051144145.77,277073366.42,1774070779.35
41523,2484,2016-06-30,A,2131526029.67,330183149.49,1801342880.18
41527,2484,2016-12-31,A,3477938788.43,399578256.23,3078360532.2
41545,2485,2014-06-30,A,2741358436.09,754759518.48,1986598917.61
41547,2485,2014-12-31,A,2717105930.67,771118577.86,1945987352.81
41550,2485,2015-06-30,A,2625460227.17,674247347.1,1951212880.07
41552,2485,2015-12-31,A,2751166969.89,782593552.08,1968573417.81
41555,2485,2016-06-30,A,2488470753.04,492623076.37,1995847676.67
41557,2485,2016-12-31,A,2444982588.61,468940534.89,1976042053.72
41572,2486,2014-06-30,A,1527801649.92,490987751.3,1036813898.62
41577,2486,2014-12-31,A,1659784158.45,609651151.32,1050133007.13
41583,2486,2015-06-30,A,1725230793.5,720927396.4,1004303397.1
41587,2486,2015-12-31,A,1608469555.08,677418920.76,931050634.32
41593,2486,2016-06-30,A,1689359594.74,796992520.69,892367074.05
41597,2486,2016-12-31,A,1632035165.98,695158045.72,936877120.26
41616,2487,2014-06-30,A,1952801896.33,423083996.19,1529717900.14
41621,2487,2014-12-31,A,1982490638.94,429257221.6,1553233417.34
41627,2487,2015-06-30,A,2245767113.25,663243048.73,1582524064.52
41630,2487,2015-12-31,A,2415327151.22,773024294.59,1642302856.63
41637,2487,2016-06-30,A,2536780194.48,855546585.69,1681233608.79
41641,2487,2016-12-31,A,2574875460.57,871988094.45,1702887366.12
41660,2488,2014-06-30,A,2856591274.31,1859930051.64,996661222.67
41665,2488,2014-12-31,A,3526722206.46,1910816403.85,1615905802.61
41671,2488,2015-06-30,A,3684320059.87,2068863873.88,1615456185.99
41675,2488,2015-12-31,A,3718284616.3,2098886486.11,1619398130.19
41681,2488,2016-06-30,A,4263503465.57,2687589130.98,1575914334.59
41685,2488,2016-12-31,A,4241628752.94,2806496270.32,1435132482.62
41704,2489,2014-06-30,A,4667439756.62,1638970478.39,3028469278.23
41709,2489,2014-12-31,A,5637924146.56,2353227740.22,3284696406.34
41715,2489,2015-06-30,A,5491554675.71,1930177494.92,3561377180.79
41719,2489,2015-12-31,A,5810544486.79,2427749405.56,3382795081.23
41725,2489,2016-06-30,A,5218545405.57,1674660355.86,3543885049.71
41729,2489,2016-12-31,A,6527504171.58,3151486717.37,3376017454.21
41749,2490,2014-06-30,A,6171569912.37,3427612713.13,2743957199.24
41753,2490,2014-12-31,A,6044500696.03,3294253220.43,2750247475.6
41759,2490,2015-06-30,A,5834580304.73,3167438389.59,2667141915.14
41763,2490,2015-12-31,A,5851180723.61,3313096127.71,2538084595.9
41769,2490,2016-06-30,A,6294965210.19,3925994545.23,2368970664.96
41773,2490,2016-12-31,A,5772042841.06,3886375615.67,1885667225.39
41792,2491,2014-06-30,A,4676189579.68,2747066649.98,1929122929.7
41797,2491,2014-12-31,A,5717852160.15,3410121647.12,2307730513.03
41803,2491,2015-06-30,A,5178730746.44,2428011490.67,2750719255.77
41807,2491,2015-12-31,A,5879537436.24,2825815189.64,3053722246.6
41813,2491,2016-06-30,A,6437642485.85,3707627504.74,2730014981.11
41817,2491,2016-12-31,A,6740484460.72,3728572597.11,3011911863.61
41836,2492,2014-06-30,A,1113742346.95,239239071.43,874503275.52
41841,2492,2014-12-31,A,1231952631.66,338068682.39,893883949.27
41847,2492,2015-06-30,A,1491504496.04,369477396.67,1122027099.37
41851,2492,2015-12-31,A,1515577218.89,381691326.13,1133885892.76
41857,2492,2016-06-30,A,1516986096.09,372947350.1,1144038745.99
41861,2492,2016-12-31,A,1537385251.06,363667910.08,1173717340.98
41880,2493,2014-06-30,A,31363205752.4,22135170853.13,9228034899.27
41885,2493,2014-12-31,A,30668432448.36,21967833401.77,8700599046.59
41891,2493,2015-06-30,A,34736161546.84,25923411122.68,8812750424.16
41895,2493,2015-12-31,A,37473514934.17,24590820627.05,12882694307.12
41901,2493,2016-06-30,A,44734015493.62,31170446843.86,13563568649.76
41905,2493,2016-12-31,A,40641368050.04,25861390024.08,14779978025.96
41924,2494,2014-06-30,A,2134253928.4,769497322.73,1364756605.67
41929,2494,2014-12-31,A,2140326450.93,728561785.64,1411764665.29
41935,2494,2015-06-30,A,2180112864.89,762142826.95,1417970037.94
41939,2494,2015-12-31,A,2299840448.2,881974173.6,1417866274.6
41945,2494,2016-06-30,A,2438783292.98,1021184380.05,1417598912.93
41949,2494,2016-12-31,A,2525667009.63,526189876.48,1999477133.15
41967,2495,2014-06-30,A,1121804073.01,52454211.76,1069349861.25
41972,2495,2014-12-31,A,1109593510.11,30687133.07,1078906377.04
41978,2495,2015-06-30,A,1151189241.01,71098158.1,1080091082.91
41981,2495,2015-12-31,A,1173453036.34,84832655.91,1088620380.43
41988,2495,2016-06-30,A,1166775736.72,60596560.41,1106179176.31
41992,2495,2016-12-31,A,1173963000.67,59746503.12,1114216497.55
42011,2496,2014-06-30,A,4571566384.71,2382763036.68,2188803348.03
42016,2496,2014-12-31,A,4623544252.7,2301513910.12,2322030342.58
42022,2496,2015-06-30,A,5949808898.64,2563482344.06,3386326554.58
42026,2496,2015-12-31,A,6172286330.95,2557036850.12,3615249480.83
42032,2496,2016-06-30,A,6393791902.5,2609655418.87,3784136483.63
42036,2496,2016-12-31,A,7458992658.12,3604820462.67,3854172195.45
42055,2497,2014-06-30,A,2792263753.79,541672025.45,2250591728.34
42060,2497,2014-12-31,A,2910939229.14,547059180.63,2363880048.51
42066,2497,2015-06-30,A,2938318533.99,558528230.87,2379790303.12
42070,2497,2015-12-31,A,2893312068.21,499146514.29,2394165553.92
42076,2497,2016-06-30,A,2983723265.32,553537528.68,2430185736.64
42080,2497,2016-12-31,A,3240139021.94,650841717.71,2589297304.23
42099,2498,2014-06-30,A,5288018908.6,1196186055.13,4091832853.47
42104,2498,2014-12-31,A,5891428621.35,1672631690.35,4218796931.0
42110,2498,2015-06-30,A,5854091003.02,1563159443.83,4290931559.19
42114,2498,2015-12-31,A,6214891760.82,2075930667.61,4138961093.21
42120,2498,2016-06-30,A,6422815315.91,2210387692.75,4212427623.16
42124,2498,2016-12-31,A,6436973722.38,1997272116.71,4439701605.67
42143,2499,2014-06-30,A,1044807476.83,305434746.31,739372730.52
42148,2499,2014-12-31,A,1246477579.17,523755310.75,722722268.42
42154,2499,2015-06-30,A,996248908.91,251444474.94,744804433.97
42158,2499,2015-12-31,A,1024939655.64,279447978.63,745491677.01
42164,2499,2016-06-30,A,980210647.38,233676973.38,746533674.0
42168,2499,2016-12-31,A,1050240007.82,300352407.41,749887600.41
42187,2500,2014-06-30,A,17431405295.0,10101914274.0,7329491021.0
42192,2500,2014-12-31,A,27497401886.0,19618500330.0,7878901556.0
42197,2500,2015-06-30,A,58201433422.0,49196698379.0,9004735043.0
42202,2500,2015-12-31,A,48180649011.0,34959389874.0,13221259137.0
42208,2500,2016-06-30,A,47440387762.0,34853643088.0,12586744674.0
42212,2500,2016-12-31,A,48057678145.0,35027768841.0,13029909304.0
42230,2501,2014-06-30,A,5299756733.65,2053171484.02,3246585249.63
42235,2501,2014-12-31,A,6701306082.62,3264971577.04,3436334505.58
42241,2501,2015-06-30,A,7604688474.38,4001179282.85,3603509191.53
42245,2501,2015-12-31,A,8819828688.48,4982428507.74,3837400180.74
42251,2501,2016-06-30,A,11079333269.89,6792342823.51,4286990446.38
42255,2501,2016-12-31,A,12089597676.6,7524040049.1,4565557627.5
42275,2502,2014-06-30,A,938266335.7,42214130.75,896052204.95
42279,2502,2014-12-31,A,989956607.39,68756616.64,921199990.75
42285,2502,2015-06-30,A,1891668230.89,149659976.82,1742008254.07
42289,2502,2015-12-31,A,3332086978.87,227529396.89,3104557581.98
42295,2502,2016-06-30,A,3605201350.27,410124775.45,3195076574.82
42299,2502,2016-12-31,A,3611768082.9,444929181.67,3166838901.23
42318,2503,2014-06-30,A,2468458186.34,351717130.95,2116741055.39
42323,2503,2014-12-31,A,2948425321.74,781680425.36,2166744896.38
42328,2503,2015-06-30,A,3274931256.94,1051226144.03,2223705112.91
42332,2503,2015-12-31,A,3669856869.36,1345097883.55,2324758985.81
42339,2503,2016-06-30,A,4250503662.28,1701626473.37,2548877188.91
42343,2503,2016-12-31,A,7194703655.0,1971686709.77,5223016945.23
42363,2504,2014-06-30,A,921199578.77,265896647.48,655302931.29
42367,2504,2014-12-31,A,2570221417.36,1886468036.28,683753381.08
42372,2504,2015-06-30,A,3223295415.46,2469810671.61,753484743.85
42377,2504,2015-12-31,A,4141129755.25,3228640451.07,912489304.18
42383,2504,2016-06-30,A,4633245975.62,3661618541.34,971627434.28
42387,2504,2016-12-31,A,5839532761.44,4753961315.21,1085571446.23
42407,2505,2014-06-30,A,6361211947.86,538878273.08,5822333674.78
42411,2505,2014-12-31,A,6577320742.91,752296360.05,5825024382.86
42417,2505,2015-06-30,A,7039825195.4,1226088495.47,5813736699.93
42421,2505,2015-12-31,A,8320584878.63,2519143690.42,5801441188.21
42427,2505,2016-06-30,A,10662513785.85,4801171081.36,5861342704.49
42430,2505,2016-12-31,A,16369306448.83,10574988898.11,5794317550.72
42451,2506,2014-06-30,A,3584754839.48,6471953212.36,-2887198372.88
42455,2506,2014-12-31,A,3107613159.03,2783647604.46,323965554.57
42461,2506,2015-06-30,A,6133839173.91,5633932807.75,499906366.16
42465,2506,2015-12-31,A,14785858411.16,11203015665.2,3582842745.96
42471,2506,2016-06-30,A,17542098357.91,13766437783.15,3775660574.76
42475,2506,2016-12-31,A,20328855167.28,16144776573.73,4184078593.55
42494,2507,2014-06-30,A,1356379244.5,261813392.13,1094565852.37
42499,2507,2014-12-31,A,1371947452.91,232360811.75,1139586641.16
42505,2507,2015-06-30,A,1465057864.39,254642517.86,1210415346.53
42509,2507,2015-12-31,A,1660047136.92,285078413.21,1374968723.71
42515,2507,2016-06-30,A,1731668834.57,306595259.18,1425073575.39
42519,2507,2016-12-31,A,1932370009.84,365952186.31,1566417823.53
42538,2508,2014-06-30,A,3297630919.79,1170044967.03,2127585952.76
42543,2508,2014-12-31,A,3625832528.3,1144430416.35,2481402111.95
42549,2508,2015-06-30,A,4151077837.36,1458943504.17,2692134333.19
42553,2508,2015-12-31,A,5026642442.58,1860355956.78,3166286485.8
42559,2508,2016-06-30,A,5693324243.86,2369222459.72,3324101784.14
42563,2508,2016-12-31,A,6415202506.51,2289957591.18,4125244915.33
42583,2509,2014-06-30,A,1669969290.58,234931571.41,1435037719.17
42587,2509,2014-12-31,A,1819779142.93,312695643.85,1507083499.08
42593,2509,2015-06-30,A,1867339235.31,319949899.02,1547389336.29
42597,2509,2015-12-31,A,5107913782.87,1001731724.28,4106182058.59
42603,2509,2016-06-30,A,5545526519.21,1324593030.41,4220933488.8
42607,2509,2016-12-31,A,7388280651.78,2899420832.81,4488859818.97
42626,2510,2014-06-30,A,3143289606.92,1558423915.52,1584865691.4
42631,2510,2014-12-31,A,3508156076.71,1827125369.22,1681030707.49
42637,2510,2015-06-30,A,3732424669.78,2015076944.95,1717347724.83
42643,2510,2015-12-31,A,3718133459.5,1916607220.04,1801526239.46
42647,2510,2016-06-30,A,3989798561.47,2092052388.24,1897746173.23
42651,2510,2016-12-31,A,4252894084.84,2200990271.38,2051903813.46
42671,2511,2014-06-30,A,4452297624.67,2133817392.08,2318480232.59
42675,2511,2014-12-31,A,4550001134.86,2200174626.83,2349826508.03
42681,2511,2015-06-30,A,4542865369.2,2151303325.41,2391562043.79
42685,2511,2015-12-31,A,4544275655.17,2110309030.67,2433966624.5
42691,2511,2016-06-30,A,4501316574.72,1963019710.93,2538296863.79
42695,2511,2016-12-31,A,4512461822.23,1816075435.45,2696386386.78
42714,2512,2014-06-30,A,2013731338.38,242353548.9,1771377789.48
42719,2512,2014-12-31,A,2268436024.99,622178897.93,1646257127.06
42725,2512,2015-06-30,A,2693380092.27,1008027481.52,1685352610.75
42729,2512,2015-12-31,A,5030438591.66,2181245717.35,2849192874.31
42735,2512,2016-06-30,A,5175836411.68,2311957872.32,2863878539.36
42739,2512,2016-12-31,A,6388005558.04,3392296263.51,2995709294.53
42759,2513,2014-06-30,A,2653376608.27,1469285530.12,1184091078.15
42763,2513,2014-12-31,A,2611163909.96,1462131282.07,1149032627.89
42769,2513,2015-06-30,A,2688905349.6,1547640580.36,1141264769.24
42773,2513,2015-12-31,A,4032637446.86,1625680408.26,2406957038.6
42779,2513,2016-06-30,A,4111092187.79,1641263002.45,2469829185.34
42783,2513,2016-12-31,A,4050146095.0,1539258495.69,2510887599.31
42802,2514,2014-06-30,A,621420543.25,94921829.1,526498714.15
42807,2514,2014-12-31,A,1228742080.17,261866606.06,966875474.11
42813,2514,2015-06-30,A,1258489644.13,254074508.41,1004415135.72
42817,2514,2015-12-31,A,1407528620.73,390881777.29,1016646843.44
42823,2514,2016-06-30,A,1465463155.5,435033162.71,1030429992.79
42827,2514,2016-12-31,A,1353970056.85,530246811.08,823723245.77
42846,2515,2014-06-30,A,1071151561.45,158183808.11,912967753.34
42851,2515,2014-12-31,A,982079645.51,75302113.19,906777532.32
42857,2515,2015-06-30,A,1435171743.33,38515599.82,1396656143.51
42861,2515,2015-12-31,A,1441804937.15,44879106.11,1396925831.04
42867,2515,2016-06-30,A,1426579926.63,30630753.48,1395949173.15
42871,2515,2016-12-31,A,1474742081.79,76345510.16,1398396571.63
42890,2516,2014-06-30,A,2984779438.82,1162094029.09,1822685409.73
42895,2516,2014-12-31,A,3450083391.36,1543764942.27,1906318449.09
42901,2516,2015-06-30,A,5226269106.3,3249083635.32,1977185470.98
42905,2516,2015-12-31,A,6545644063.14,4358068603.04,2187575460.1
42911,2516,2016-06-30,A,6498475253.31,4157144623.28,2341330630.03
42915,2516,2016-12-31,A,6982381687.22,3293409475.88,3688972211.34
42934,2517,2014-06-30,A,843745190.12,206037612.15,637707577.97
42939,2517,2014-12-31,A,828439550.84,228328006.26,600111544.58
42945,2517,2015-06-30,A,791836969.92,187145415.57,604691554.35
42949,2517,2015-12-31,A,1354883670.01,586787598.54,768096071.47
42955,2517,2016-06-30,A,1660074262.88,644656026.32,1015418236.56
42959,2517,2016-12-31,A,4059194622.54,671497603.26,3387697019.28
42978,2518,2014-06-30,A,1913376801.39,433316065.14,1480060736.25
42983,2518,2014-12-31,A,2169956843.2,608260926.2,1561695917.0
42989,2518,2015-06-30,A,2046935049.41,428891347.08,1618043702.33
42993,2518,2015-12-31,A,2524749952.58,758452936.56,1766297016.02
42999,2518,2016-06-30,A,2382096352.24,577159470.69,1804936881.55
43003,2518,2016-12-31,A,2821754966.88,825181221.87,1996573745.01
43022,2519,2014-06-30,A,1552266578.35,344566613.58,1207699964.77
43027,2519,2014-12-31,A,2381550548.91,406607416.31,1974943132.6
43033,2519,2015-06-30,A,2554246237.86,478873409.2,2075372828.66
43036,2519,2015-12-31,A,3577288857.64,1617524006.29,1959764851.35
43043,2519,2016-06-30,A,3741958363.76,1695987511.78,2045970851.98
43047,2519,2016-12-31,A,4881139354.04,1223009965.33,3658129388.71
43066,2520,2014-06-30,A,956282011.5,296031741.54,660250269.96
43073,2520,2014-12-31,A,1350810609.78,651443886.96,699366722.82
43077,2520,2015-06-30,A,1336271754.77,631975181.64,704296573.13
43081,2520,2015-12-31,A,2431574141.26,718186908.66,1713387232.6
43087,2520,2016-06-30,A,2340214793.02,603019223.68,1737195569.34
43091,2520,2016-12-31,A,2351348119.68,625079712.39,1726268407.29
43111,2521,2014-06-30,A,3178075487.22,854450437.76,2323625049.46
43115,2521,2014-12-31,A,4027573669.1,1461523266.95,2566050402.15
43121,2521,2015-06-30,A,4095236766.79,876817158.67,3218419608.12
43125,2521,2015-12-31,A,4097412559.94,746123590.7,3351288969.24
43131,2521,2016-06-30,A,4110304915.15,772174860.55,3338130054.6
43135,2521,2016-12-31,A,4223451613.2,818857336.47,3404594276.73
43154,2522,2014-06-30,A,1681456935.29,354179406.16,1327277529.13
43159,2522,2014-12-31,A,1743121962.3,380029859.56,1363092102.74
43165,2522,2015-06-30,A,1911243843.35,569398427.47,1341845415.88
43169,2522,2015-12-31,A,1830137330.49,446742916.24,1383394414.25
43175,2522,2016-06-30,A,1897210008.77,412718271.04,1484491737.73
43179,2522,2016-12-31,A,2085223171.06,495188544.39,1590034626.67
43198,2523,2014-06-30,A,1477484553.61,352726763.47,1124757790.14
43203,2523,2014-12-31,A,1453272986.8,315069025.71,1138203961.09
43209,2523,2015-06-30,A,1535813434.63,404919213.94,1130894220.69
43213,2523,2015-12-31,A,2791445574.61,971049398.58,1820396176.03
