,Stkcd,Accper,Typrep,total_assets,tptal_liability,total_equity
665,19,2016-12-31,A,1178543725.3,128805162.44,1049738562.86
684,20,2014-06-30,A,1187640332.71,912520746.31,275119586.4
689,20,2014-12-31,A,1162740984.93,881389715.19,281351269.74
694,20,2015-06-30,A,1172778771.75,877250190.98,295528580.77
701,20,2015-12-31,A,1154989593.34,841052363.64,313937229.7
705,20,2016-06-30,A,619748378.14,301068859.72,318679518.42
709,20,2016-12-31,A,632475542.4,312776973.77,319698568.63
728,21,2014-06-30,A,14459189353.51,9566066853.24,4893122500.27
733,21,2014-12-31,A,14450420809.11,9391399357.39,5059021451.72
739,21,2015-06-30,A,14318067899.3,9083686920.3,5234380979.0
743,21,2015-12-31,A,14337515272.47,9131834479.71,5205680792.76
749,21,2016-06-30,A,10472636664.46,5151101949.84,5321534714.62
753,21,2016-12-31,A,11717371549.69,6420043128.75,5297328420.94
772,22,2014-06-30,A,7470426613.37,2703614277.06,4766812336.31
777,22,2014-12-31,A,6935824199.68,2060224599.25,4875599600.43
783,22,2015-06-30,A,6711610325.63,1732334564.05,4979275761.58
786,22,2015-12-31,A,6913772876.99,1684462446.87,5229310430.12
793,22,2016-06-30,A,6626761280.09,1323717613.59,5303043666.5
797,22,2016-12-31,A,6620476709.79,983482973.37,5636993736.42
816,23,2014-06-30,A,1328219798.35,919398754.79,408821043.56
821,23,2014-12-31,A,1474001953.01,1049438615.31,424563337.7
827,23,2015-06-30,A,1459989243.53,1029971173.88,430018069.65
831,23,2015-12-31,A,1565865589.96,1119314056.29,446551533.67
837,23,2016-06-30,A,1500671651.13,1051238837.99,449432813.14
841,23,2016-12-31,A,1513965158.57,1058360940.93,455604217.64
860,24,2014-06-30,A,140954002966.06,101405884984.49,39548117981.57
865,24,2014-12-31,A,151692365118.58,107945586005.93,43746779112.65
871,24,2015-06-30,A,168809263726.54,121410433740.48,47398829986.06
876,25,2014-06-30,A,741757937.15,533454132.75,208303804.4
881,25,2014-12-31,A,806324777.8,603994417.71,202330360.09
887,25,2015-06-30,A,1143974813.03,300815736.4,843159076.63
891,25,2015-12-31,A,1168667927.49,290079523.85,878588403.64
897,25,2016-06-30,A,1167329464.83,270771572.03,896557892.8
901,25,2016-12-31,A,1189001074.98,280464738.8,908536336.18
920,26,2014-06-30,A,3689550705.59,2100760802.08,1588789903.51
925,26,2014-12-31,A,3657781647.2,2021301359.97,1636480287.23
931,26,2015-06-30,A,3820850106.95,2143203247.81,1677646859.14
